video_id,categoryId,how_fast,amount_trending
00JOoWU7b6Q,17,0,11
00KkWaJkz_Q,22,0,12
00L4skLzzvQ,20,0,13
00M1r_-KZ6c,22,0,3
00XwaaKz32k,17,0,9
00YnYHkahSs,24,0,9
01BtLyxHtZ4,20,1,16
01VG98PDEqs,23,1,12
01iz9kmvbxg,24,0,10
01nGHdodCUA,20,5,2
01nVnTkWnA0,24,0,10
01n__FZ2Tm8,10,0,11
020UWlJ0QGY,1,0,10
022JLwndazs,23,0,8
022dWUT1mYg,17,0,15
02HmsVCgW_k,22,1,10
02RVBpxlaX0,25,3,9
02_LGjFQHDw,24,1,7
02rMn4giIUs,15,0,11
02ztvLW-fmg,24,0,9
030kOnrYl3g,10,1,15
0328ydjLYFE,24,1,7
033XoDoZFUE,24,1,17
03HKx-YTnxs,23,1,10
03OrtAv9nBc,20,1,7
03TbrIhuAdM,22,1,18
03d8Ao6uSkQ,10,0,8
03dBhnRFpqA,15,0,6
03f_dtM0IBo,23,0,9
03n6jwp2n_Y,10,1,12
03qqbnYvMPI,20,1,13
040J8uoIM8Y,24,0,17
041m3qNqncc,20,1,5
049REjD9jns,25,0,10
04M_wPKY-jk,22,0,11
04_yJcVtI6I,23,0,5
04aKn0NG7Mw,17,0,8
04dv9SEC66k,24,0,12
04l4LH_U21E,10,4,2
04tYkKUPPv4,10,0,13
04w8lFPICts,24,0,19
05kluGqirpM,15,0,11
05un-yeeQ4I,24,0,14
05zpJc9Zjq8,24,0,11
066rg5d-zrg,17,0,13
068cOkVK3CM,24,0,9
06CL3SRpQak,24,0,10
06DTvA1bNHI,24,0,12
06NQhS9e2hc,10,0,11
06cYwTEfPHw,24,0,9
06kdqa0L6cA,28,0,9
071BbWCI1Ps,22,0,8
078iDgpa66E,10,0,11
07ANFmITUaU,24,0,9
07DnC8l9SPE,24,0,13
07SZESd8bgU,23,1,8
07VN9QYYWvU,19,0,21
07XOzAXNHHc,26,0,9
07qHsNw2yCg,19,0,10
08MCd75frA8,10,0,10
08cvLGPbuuA,24,0,10
08e0vbH00HQ,24,0,8
08x_TcTyw8o,10,1,9
09PTG9P_DDg,24,0,9
09UcbFMu7PY,24,1,15
09ebigPXbjM,22,2,10
09gxzXXShRg,24,0,8
09nJdEVYUy8,24,2,6
09rm6YqBIpk,23,0,8
09y2wScROiw,10,0,11
0A9rOb2fyOE,24,0,17
0AJTudXKNkU,24,3,7
0Aa18sFUU6Q,24,0,8
0AbriTBYbE0,24,0,14
0Atv0KZ8zLU,24,0,15
0AzQ2TYlIx8,22,0,12
0B3MAWUrito,25,0,5
0Bb1n7cGiNw,23,0,4
0Bb_jGSVTsQ,22,0,18
0BgVazHgATw,19,2,21
0Bk7ohVcyL8,19,1,9
0CDfcclCQPE,24,0,8
0CEFQr0ZG3U,24,0,6
0CWpeVGTI2U,24,0,13
0C_ARJ-1koA,10,0,15
0Cma_PDgWMo,24,0,8
0DINPmdV-hM,10,0,2
0DJoKEBegio,22,0,18
0DXcQV04u-0,1,0,9
0Df8-ttvgMs,10,0,6
0DjAmRjlWic,24,3,9
0Dqv2rAsTtg,24,0,1
0DuCy6zxCEo,22,2,10
0DwFOQeUkuI,25,0,17
0E45v3QplQo,24,0,8
0EB5F_fEA7I,20,0,12
0ExqIjNgwoE,20,0,10
0F2_eu1XMfg,20,0,11
